state,year,home_value
Alabama,2010,127509.75499772973
Alabama,2011,121616.246143643
Alabama,2012,123425.87369577102
Alabama,2013,130845.52457686164
Alabama,2014,135140.67880969626
Alabama,2015,137057.09454644148
Alabama,2016,141995.65024275729
Alabama,2017,146112.9488672556
Alabama,2018,151938.26113472707
Alabama,2019,160380.21497864008
Alabama,2021,197053.53708691543
Alabama,2022,221728.89581125134
Alabama,2023,227541.76704949047
Alaska,2010,250546.54139581547
Alaska,2011,247475.50180272307
Alaska,2012,253159.93660121108
Alaska,2013,261336.29360085542
Alaska,2014,265679.6977106712
Alaska,2015,275910.13444260275
Alaska,2016,282720.9677976006
Alaska,2017,284983.5015167626
Alaska,2018,289238.92417926446
Alaska,2019,306801.91191969847
Alaska,2021,334419.0497235278
Alaska,2022,357234.6329031151
Alaska,2023,360652.85581683303
Arizona,2010,160743.65919897938
Arizona,2011,142444.2842910287
Arizona,2012,150153.2597427492
Arizona,2013,178123.07341258973
Arizona,2014,195892.79324358926
Arizona,2015,206375.2715903568
Arizona,2016,223590.28931494206
Arizona,2017,238820.3365318566
Arizona,2018,257061.91167875237
Arizona,2019,274577.90302044887
Arizona,2021,372660.6372293147
Arizona,2022,450068.741836818
Arizona,2023,431326.8778071688
Arkansas,2010,122385.45608238257
Arkansas,2011,119072.34382965532
Arkansas,2012,120476.8925569979
Arkansas,2013,123826.10228520569
Arkansas,2014,126125.86732620078
Arkansas,2015,130006.4846938441
Arkansas,2016,136264.6809145743
Arkansas,2017,140795.3689563456
Arkansas,2018,146071.81698272613
Arkansas,2019,151812.9745953975
Arkansas,2021,181707.29016058636
Arkansas,2022,202984.04427387926
Arkansas,2023,207985.9458321817
California,2010,314491.0097499106
California,2011,297358.68699460215
California,2012,292548.48820829776
California,2013,345237.63606277696
California,2014,396634.4206285944
California,2015,425805.9086541386
California,2016,454290.8767199519
California,2017,491681.6399288469
California,2018,538586.4272071988
California,2019,554097.2442127507
California,2021,672207.0331931227
California,2022,763278.7223321149
California,2023,753407.6187566255
Colorado,2010,230643.2012719344
Colorado,2011,221772.9005883387
Colorado,2012,225272.65494500365
Colorado,2013,244754.97722974187
Colorado,2014,264612.4900604017
Colorado,2015,296136.07072088396
Colorado,2016,329993.3853179806
Colorado,2017,360155.52361448
Colorado,2018,387052.96310896246
Colorado,2019,405692.4810160265
Colorado,2021,494908.73900904757
Colorado,2022,568787.233679816
Colorado,2023,558084.2773302872
Connecticut,2010,262880.54602703324
Connecticut,2011,248514.36916299324
Connecticut,2012,236777.40558638974
Connecticut,2013,238448.53401165863
Connecticut,2014,242967.01015831777
Connecticut,2015,244405.80644525294
Connecticut,2016,247364.0738812347
Connecticut,2017,253237.33836027794
Connecticut,2018,259101.52100503028
Connecticut,2019,262424.5909210681
Connecticut,2021,315152.30015495076
Connecticut,2022,351116.44098878914
Connecticut,2023,377079.3668541044
Delaware,2010,246985.56400313912
Delaware,2011,231653.32494401222
Delaware,2012,219017.72397309472
Delaware,2013,221705.81266061633
Delaware,2014,231493.65730466877
Delaware,2015,241665.4669759421
Delaware,2016,252751.6081567573
Delaware,2017,263218.28135823953
Delaware,2018,270319.4542975161
Delaware,2019,277904.9429115963
Delaware,2021,330429.1230776775
Delaware,2022,368303.7045267215
Delaware,2023,382855.8104331889
District of Columbia,2010,378447.01794525655
District of Columbia,2011,376010.6526454868
District of Columbia,2012,382702.3023564199
