,state,year,net total,pct_renters,median_age,pct_female,pct_age_20_34,pct_age_65_plus,pct_college_grads,pct_unemployed,pct_nilf,median_income
0,Alabama,2010,0.0019080531926466554,0.283011842,37,0.514474334,0.19626949,0.137869366,0.15211759,0.054837964,0.319747903,16300
1,Alaska,2010,-0.07364536754048473,0.32002353,33,0.478868604,0.224769428,0.075924564,0.18315931,0.049061255,0.216120787,26700
2,Arizona,2010,0.006877129014143665,0.341153059,35,0.502916163,0.203152546,0.138255435,0.174078232,0.055729133,0.300987552,18400
3,Arkansas,2010,0.004965470965673818,0.312557888,37,0.5101143,0.193059228,0.144073499,0.134420247,0.046318018,0.311392433,16500
4,California,2010,-0.0035568045004226636,0.424192295,35,0.502885123,0.216950634,0.114351535,0.202323451,0.063666173,0.279098602,18500
5,Colorado,2010,0.008710686300038357,0.314995372,36,0.498030826,0.213399059,0.109247622,0.252351571,0.053800194,0.240473743,23000
6,Connecticut,2010,-0.00345449870775668,0.274599093,39,0.515751286,0.182013059,0.141953771,0.253084016,0.057550964,0.254660165,25000
7,Delaware,2010,0.0005958546596593756,0.247946973,38,0.515734594,0.194157612,0.143094505,0.19348744,0.047681127,0.287039229,22500
8,District of Columbia ,2010,-0.00841298675960879,0.523122559,33,0.528256126,0.311939886,0.11506271,0.386173946,0.07427211,0.277665923,27000
9,Florida,2010,0.002694813749135362,0.31209087,40,0.511192557,0.186235275,0.173881034,0.186606653,0.064870023,0.321559527,17900
10,Georgia,2010,0.00033657280345810586,0.325374692,35,0.511696523,0.20662497,0.106395958,0.182264725,0.061958158,0.275722833,17500
11,Hawaii,2010,0.002628708004636472,0.372259594,38,0.498674485,0.202749884,0.145465639,0.20505551,0.040679192,0.267287611,24100
12,Idaho,2010,0.0014286232162067022,0.27606669,34,0.498108117,0.203323046,0.125148748,0.160257087,0.046555092,0.27253492,18000
13,Illinois,2010,-0.005785531814109981,0.289853841,36,0.509549592,0.206382912,0.125829721,0.215246147,0.059025166,0.265142333,20400
14,Indiana,2010,-0.0005044811353272782,0.267039471,36,0.507351608,0.198251446,0.129729497,0.156648031,0.054315604,0.278622184,19500
15,Iowa,2010,0.0017421491071537148,0.23715795,38,0.506314832,0.195238637,0.14862898,0.176954985,0.038515904,0.247218008,22100
16,Kansas,2010,0.0013611129877343642,0.278803736,36,0.505686792,0.20117104,0.132813765,0.203540959,0.039407254,0.248742204,21000
17,Kentucky,2010,0.005690206477272763,0.289203192,38,0.507810613,0.197917707,0.1335222,0.14558819,0.053184504,0.314609368,17000
